"  Слово (Гипоним)","Гипероним","Текст","Ссылка","","Табличка для пары гипоним-гипероним"
"МЕЛКОЛЕСЬЕ","Лес","Мелколесье - мелкий лес","https://kartaslov.ru/%D0%BA%D0%B0%D1%80%D1%82%D0%B0-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BC%D0%B5%D0%BB%D0%BA%D0%BE%D0%BB%D0%B5%D1%81%D1%8C%D0%B5","","гипоним - частное"
"МЕЛКОЛЕСЬЕ","Пространство ","Мелколесье - пространство, поросшее мелким лесом ","http://xn----8sbauh0beb7ai9bh.xn--p1ai/%D0%BC%D0%B5%D0%BB%D0%BA%D0%BE%D0%BB%D0%B5%D1%81%D1%8C%D0%B5","","гипероним - общее"
"МЕЛКОЛЕСЬЕ","Заросль","Уничтожение кустарника и мелколесья на лугах и пастбищах с помощью агротехнических или культуртехниче-ских приемов очень затруднительно. Раскорчевка таких зарослей часто влечет за собой полное разрушение и уничтожение верхнего, наиболее плодородного почвенного слоя.","https://ru-ecology.info/term/5909/","",""
"МЕЛКОЛЕСЬЕ","Растительность","В практике культуртехнических мероприятий древесно-кустарниковая растительность подразделяется на кустарник, мелколесье и лес, которые в свою очередь делятся на более мелкие таксономические категории по размерам и густоте","https://ru-ecology.info/term/5909/https://ru-ecology.info/term/5909/","",""
"МЕЛКОЛЕСЬЕ","Место","Мелколесье -  место, поросшее мелким лесом.","https://kartaslov.ru/%D0%BA%D0%B0%D1%80%D1%82%D0%B0-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BC%D0%B5%D0%BB%D0%BA%D0%BE%D0%BB%D0%B5%D1%81%D1%8C%D0%B5","",""
"МЕЛОК","Разновидность известняка","Мел — разновидность известняка, осадочная горная порода органического (зоогенного) происхождения, состоящая из скрытокристаллического кальцита.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB","",""
"МЕЛОК","Абразив","Мел в качестве абразива входит в состав многих зубных паст. ","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB","",""
"МЕЛОК","Период мезозойской эры","Мел - последний период мезозойской эры","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D0%BE%D0%B2%D0%BE%D0%B9_%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4","",""
"МЕЛОК","Единица высоты звука","Мел — психофизическая единица высоты звука, применяется главным образом в музыкальной акустике.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB_(%D0%B2%D1%8B%D1%81%D0%BE%D1%82%D0%B0_%D0%B7%D0%B2%D1%83%D0%BA%D0%B0)","",""
"МЕЛОК","Кормовая добавка","В животноводстве мел применяется как кормовая добавка, обеспечивающая необходимое количество кальция в рационе птиц и скота. ","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB","",""
